oyun_adi,etiketler,gelistirici,yayinci,yayin_tarihi,turkce_incelemeler,en_son_incelemeler,turkce_destegi,fiyat_dlc,fiyat2,ozellikler,kontrolcu_destegi,dil_sayisi,diller_detay,yas_siniri
SteamWorld Build Mechanized DLC,"Simülasyon, Strateji, İnşa Etme, Üs İnşa Etme, Tek Oyunculu, Şehir Kurma, Kaynak Yönetimi, Ekonomi, Kontrolcü, Çizgi Filmvari, Aile Dostu, Atmosferik, Yönetim, Kapitalizm, Steampunk, Sandbox, Vahşi Batı, Bilim Kurgu, Madencilik, Oyun Müziği",The Station,Thunderful,4 Nis 2024,,,"Arayuz, Altyazi",,$5.79 USD,"Tek Oyunculu, İndirilebilir İçerik, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 12 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",
SnowRunner - Season 1: Search & Recover,"Simülasyon, Macera, Yarış",Saber Interactive,Focus Entertainment,17 May 2021,,,Desteklenmiyor,,$3.24 USD,"Tek Oyunculu, Çevrimiçi Eşli, İndirilebilir İçerik, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,13 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Çekçe: Arayuz | Japonca: Arayuz | Korece: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz,
Trials® Rising,"Yarış, Motosiklet ve bisiklet, Fizik Tabanlı, Çok Oyunculu, Rekabetçi, Platform, Komik, Tek Oyunculu, Spor, Hızlı, Zor",RedLynx,Ubisoft,26 Şub 2019,,En Son:Karışık(%50/30),Desteklenmiyor,$11.99 USD,$15.99 USD,"Tek Oyunculu, Çevrimiçi PvP, Steam Koleksiyon Kartları, Uygulama İçi Satın Alımlar, Remote Play Together",Kismi kontrolcu destegi,12 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Arapça: Arayuz, Altyazi | Felemenkçe: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",12+
Jumping Jazz Cats,"Kediler, Parti Oyunu, Çok Oyunculu, 3D Platform, Basit Eğlence, Komik, Sevimli, Çevrimiçi Eşli Oyun, Aksiyon, Karakter Kişiselleştirme, Parti, Fizik Tabanlı, LGBTİ+, Çizgi Film, Renkli, Platform, Collectathon, Parkur, Takım Tabanlı, Sandbox",Le Catnip Collective,Team17,20 May 2025,,,Desteklenmiyor,$3.99 USD,$6.99 USD,"Çevrimiçi PvP, LAN PvP, Ortak/Bölünmüş Ekran PvP, Çevrimiçi Eşli, LAN Eşli, Ortak/Bölünmüş Ekran Eşli, Steam Başarımları, Steam Cloud, Remote Play Together, Aile Paylaşımı",Tam kontrolcu destegi,11 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",
For The King II: Fallen Oaths Character Pack,"Strateji, Macera, RYO, Bağımsız",IronOak Games,Curve Games,17 Kas 2025,,,Desteklenmiyor,,$3.59 USD,"Tek Oyunculu, Çevrimiçi Eşli, Ortak/Bölünmüş Ekran Eşli, Çapraz Platform Çok Oyunculu, İndirilebilir İçerik, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Remote Play Together, Aile Paylaşımı",Tam kontrolcu destegi,13 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Japonca: Arayuz | Korece: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz | Ukraynaca: Arayuz,
Fish Stick Protocol,"Erken Erişim, Çevrimiçi Eşli Oyun, Çok Oyunculu, Eşli, Aksiyon, Komik, Korku, Prosedürel Oluşturma, Keşif, Aksiyon Macera, Ganimet, Komedi, Birinci Şahıs, Stilize, Kara Komedi, Üçüncü Şahıs, Kara Mizah, Karakter Kişiselleştirme, Fizik Tabanlı, Çizgi Filmvari",Maracas Studio,"Maracas Studio, Gamersky Games",5 Kas 2025,,,Desteklenmiyor,,$4.05 USD,"Çevrimiçi Eşli, Steam Başarımları, Steam Cloud, İstatistikler, Aile Paylaşımı",,12 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Ukraynaca: Arayuz, Altyazi",
For The King II: Tinkerers Of Fate Character Pack,"Macera, RYO, Strateji, Parti Tabanlı RYO, Kutu Oyunu, Rogue-like, Sıra Tabanlı Strateji, Rogue-lite, Masa Oyunları, Çok Oyunculu, Sıra Tabanlı Savaş, Çevrimiçi Eşli Oyun, Eşli, Fantezi, Yerel Eşli Oyun, Altıgen Izgara, Açık Dünya, Yerel Çok Oyunculu, Tek Oyunculu, PvP",IronOak Games,Curve Games,11 Eyl 2025,,,Desteklenmiyor,,$3.59 USD,"Tek Oyunculu, Çevrimiçi Eşli, Ortak/Bölünmüş Ekran Eşli, Çapraz Platform Çok Oyunculu, İndirilebilir İçerik, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Remote Play Together, Aile Paylaşımı",Tam kontrolcu destegi,13 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Japonca: Arayuz | Korece: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz | Ukraynaca: Arayuz,
Bee Simulator,"Uçuş, Aile Dostu, Macera, Rahatlatıcı, Arcade, Basit Eğlence, Açık Dünya, Renkli, Eşli, Eğitici, Yerel Çok Oyunculu, Yerel Eşli Oyun, Üçüncü Şahıs, Meme'ler, PvP, 3D, Çok Oyunculu, Sinematik, Lineer, Anlatı",VARSAV Game Studios,Untold Tales,17 Kas 2020,,,Desteklenmiyor,-50%$2.69$1.34 USD,$1.34 USD,"Tek Oyunculu, Ortak/Bölünmüş Ekran PvP, Ortak/Bölünmüş Ekran Eşli, Aile Paylaşımı",,14 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Lehçe: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | İtalyanca: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Seslendirme, Altyazi | Basitleştirilmiş Çince: Arayuz, Seslendirme, Altyazi | Geleneksel Çince: Arayuz, Seslendirme, Altyazi | Korece: Arayuz, Seslendirme, Altyazi | Japonca: Arayuz, Seslendirme, Altyazi | Felemenkçe: Arayuz, Seslendirme, Altyazi | Brezilya Portekizcesi: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Seslendirme, Altyazi | Çekçe: Arayuz, Seslendirme, Altyazi",7+
SnowRunner - Season 3: Locate & Deliver,"Simülasyon, Macera, Yarış",Saber Interactive,Focus Entertainment,17 May 2021,,,Desteklenmiyor,,$3.24 USD,"Tek Oyunculu, Çevrimiçi Eşli, İndirilebilir İçerik, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,13 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Çekçe: Arayuz | Japonca: Arayuz | Korece: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz,
SnowRunner - Season 11: Lights & Cameras,"Simülasyon, Macera",Saber Interactive,Focus Entertainment,19 Eki 2023,,,Desteklenmiyor,,$3.24 USD,"Tek Oyunculu, Çevrimiçi Eşli, İndirilebilir İçerik, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Telefonda Remote Play, Tablette Remote Play, Aile Paylaşımı",Tam kontrolcu destegi,13 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Çekçe: Arayuz | Japonca: Arayuz | Korece: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz,
ANGST: A TALE OF SURVIVAL,"Keşif, Sandbox, Aksiyon Macera, Üçüncü Şahıs, Korku, Kıyamet Sonrası, Açık Dünya, Kar, Kontrolcü, Stilize, Atmosferik, Hayatta Kalma, Psikolojik, Gizem, Üretim, Macera, Hayatta Kalma - Korku, Doğaüstü, Kaynak Yönetimi, Çatışma",Cherrypick Games,"Games Operators, Cherrypick Games",5 Ara 2025,,En Son:Karışık(%62/16),"Arayuz, Altyazi",,$4.49 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 10 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Japonca: Arayuz, Altyazi",
Lessaria: Supporter Pack,"Strateji, RYO, Bağımsız, Simülasyon",Rockbee Team,Polden Publishing,20 Eki 2025,,,Desteklenmiyor,,$3.59 USD,"Tek Oyunculu, İndirilebilir İçerik, Steam Başarımları, Aile Paylaşımı",,5 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Rusça: Arayuz, Seslendirme, Altyazi | Lehçe: Arayuz, Altyazi",
Rain World: Downpour - Soundtrack,"Oyun Müziği, Harika Müzik",Videocult,Akupara Games,23 Oca 2023,,,,,$3.47 USD,Ek Yüksek Kaliteli Ses,,,,
Sunny Blooms Garden Center,"Simülasyon, Ekonomi, Yönetim, Kaynak Yönetimi, Gerçekçi, Tek Oyunculu, Birinci Şahıs, 3D, Erken Erişim, Sürükleyici Simülasyon, Yaşam Simülatörü",Mojosoft Ltd,Rockgame S.A.,5 Mar 2026,,,"Arayuz, Altyazi",,$3.59 USD,"Tek Oyunculu, Steam Başarımları, Aile Paylaşımı",,Türkçe ve 10 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi",
Voidwrought,"Metroidvania, Karanlık, Zengin Evren, 2D Platform, Keşif, Lovecraft Temalı, 2D, Aksiyon, Çatışma, Platform, Atmosferik, Aksiyon Macera, Kontrolcü, Mitoloji, Elle Çizilmiş, Korku, Fantezi, Doğaüstü, Tek Oyunculu, Karanlık Fantezi",Powersnake,Kwalee,24 Eki 2024,,En Son:Çoğunlukla Olumlu(%76/26),Desteklenmiyor,$2.49 USD,$10.49 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,11 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Macarca: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",
Hell Let Loose - Tropic Fever,"Simülasyon, Aksiyon, Devasa Çok Oyunculu, Bağımsız, Strateji, Vahşet, Şiddet",Black Matter Pty Ltd,Team17,7 Ara 2021,,,Desteklenmiyor,,$2.99 USD,"Çevrimiçi PvP, İndirilebilir İçerik, Steam Başarımları, Aile Paylaşımı",Kismi kontrolcu destegi,11 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Fransızca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Geleneksel Çince: Arayuz | Korece: Arayuz | Japonca: Arayuz,
Atomicrops,"Aksiyon, Bağımsız, Rogue-like, Mermi Cehennemi, Çiftçilik Simülatörü, Aksiyon Roguelike, Rogue-lite, Piksel Grafikler, Çift Analoglu Nişancı, Hayatta Kalma, Simülasyon, Renkli, Tarım, Çatışma, Silah Kişiselleştirme, Kalıcı Ölüm, Tek Oyunculu, Açık Dünya, PvE, Kediler",Bird Bath Games,Raw Fury,17 Eyl 2020,,En Son:Çoğunlukla Olumlu(%76/21),Arayuz,-50%$2.99$1.49 USD,$4.17 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 16 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Arapça: Arayuz | Çekçe: Arayuz | Korece: Arayuz | Lehçe: Arayuz | Portekizce - Portekiz: Arayuz | Brezilya Portekizcesi: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Latin Amerika İspanyolcası: Arayuz | Geleneksel Çince: Arayuz | Ukraynaca: Arayuz,
112 Operator - The Last Duty,"Simülasyon, Strateji, Bağımsız, Zaman Yönetimi, Zombi, Modlanabilir, Gerçekçi, Modern",Jutsu Games,Games Operators,14 Tem 2021,,,Desteklenmiyor,,$3.99 USD,"Tek Oyunculu, İndirilebilir İçerik, Steam Başarımları, İşitme engelliler için altyazı desteği, Steam Cloud, Aile Paylaşımı",,10 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi",
ARMA: Cold War Assault,"Simülasyon, Aksiyon, Askerî, Strateji, Soğuk Savaş, FPS, Klasik, Taktiksel, Açık Dünya, Çok Oyunculu, Savaş, Nişancı, Gerçekçi, Birinci Şahıs, Tek Oyunculu, Sandbox, Modlanabilir, Takım Tabanlı, Üçüncü Şahıs, Vahşet",Bohemia Interactive,Bohemia Interactive,8 Ağu 2011,,En Son:Çok Olumlu(%88/18),Desteklenmiyor,,$3.99 USD,"Tek Oyunculu, Aile Paylaşımı",,5 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi",16+
SnowRunner - Jeep Dual Pack,"Macera, Simülasyon",Saber Interactive,Focus Entertainment,9 Eyl 2021,,,Desteklenmiyor,,$3.19 USD,"Tek Oyunculu, Çevrimiçi Eşli, İndirilebilir İçerik, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,13 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Çekçe: Arayuz | Japonca: Arayuz | Korece: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz,
Far Cry® 4 – Overrun,"Aksiyon, Macera","Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",Ubisoft,12 Şub 2015,,,Desteklenmiyor,,$3.99 USD,"Tek Oyunculu, İndirilebilir İçerik",,15 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme | Fransızca: Arayuz, Seslendirme | İtalyanca: Arayuz, Seslendirme | Almanca: Arayuz, Seslendirme | Kastilya İspanyolcası: Arayuz, Seslendirme | Çekçe: Altyazi | Danca: Altyazi | Felemenkçe: Altyazi | Fince: Altyazi | Japonca: Arayuz, Seslendirme | Korece: Altyazi | Lehçe: Altyazi | Brezilya Portekizcesi: Arayuz, Seslendirme | Rusça: Arayuz, Seslendirme | İsveççe: Altyazi",18+
SnowRunner - Kenworth Dual Pack,"Macera, Simülasyon",Saber Interactive,Focus Entertainment,3 Ara 2024,,,Desteklenmiyor,,$3.19 USD,"Tek Oyunculu, Çevrimiçi Eşli, İndirilebilir İçerik, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Telefonda Remote Play, Tablette Remote Play, Aile Paylaşımı",Tam kontrolcu destegi,13 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Çekçe: Arayuz | Japonca: Arayuz | Korece: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz,
Hakoniwa Explorer Plus,"Hack and Slash, Cinsel İçerik, Çıplaklık, Dungeon Crawler, İzometrik, Hentai, Keşif, Aksiyon RYO, Komedi, Aksiyon Macera, RYO, 2D, Sevimli, Voxel, Üstten Görünüş, Piksel Grafikler, Komik, Aksiyon, Basit Eğlence, Anime",suxamethonium,PLAYISM,6 Haz 2018,,,Desteklenmiyor,-60%$2.99$1.19 USD,$1.19 USD,"Tek Oyunculu, Aile Paylaşımı",Kismi kontrolcu destegi,3 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi",
Beacon Pines,"Görsel Roman, Zengin Hikâye, Duygusal, İç Isıtıcı, Renkli, Keşif, Tek Oyunculu, İnteraktif Kurgu, Korku, Basit Eğlence, Sevimli, Rahatlatıcı, RYO, Gizem, Atmosferik, Anlatı, Elle Çizilmiş, Macera, Aksiyon Macera, Point & Click",Hiding Spot,Fellow Traveller,22 Eyl 2022,,En Son:Çok Olumlu(%100/38),Desteklenmiyor,-70%$5.79$1.73 USD,$3.46 USD,"Tek Oyunculu, Steam Başarımları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,1 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz,
20XX - Draco Character DLC,"Aksiyon, Bağımsız","Batterystaple Games, Fire Hose Games",,10 Tem 2018,,,Desteklenmiyor,,$1.49 USD,"Tek Oyunculu, Çevrimiçi PvP, Ortak/Bölünmüş Ekran PvP, Çevrimiçi Eşli, Ortak/Bölünmüş Ekran Eşli, İndirilebilir İçerik, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Steam Sıralama Listeleri, Aile Paylaşımı",Tam kontrolcu destegi,9 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Japonca: Arayuz, Seslendirme, Altyazi | Korece: Arayuz, Seslendirme, Altyazi | Brezilya Portekizcesi: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Seslendirme, Altyazi | Basitleştirilmiş Çince: Arayuz, Seslendirme, Altyazi",
Arcadia Fallen,"Kendi Maceranı Seç, Görsel Roman, İlişki Simülatörü, Otome, Karakter Kişiselleştirme, Sürükleyici Simülasyon, Bulmaca, Romantik, Kadın Karakter, RYO, Çizgi Roman, 2D, Sevimli, LGBTİ+, Metin Tabanlı, Zengin Hikâye, Önemli Seçimler, Fantezi, Komik, Anime",Galdra Studios,Galdra Studios,17 Kas 2021,,,Desteklenmiyor,-75%$2.99$0.74 USD,$1.86 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, İstatistikler, Aile Paylaşımı",Tam kontrolcu destegi,2 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Japonca: Arayuz, Altyazi",
Assassin's Creed Syndicate - The Last Maharaja,"Aksiyon, Macera","Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",,1 Mar 2016,,,Desteklenmiyor,,$5.59 USD,"Tek Oyunculu, İndirilebilir İçerik",,19 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Seslendirme, Altyazi | İtalyanca: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Kastilya İspanyolcası: Arayuz, Seslendirme, Altyazi | Çekçe: Arayuz, Altyazi | Felemenkçe: Arayuz, Altyazi | Macarca: Arayuz, Altyazi | Japonca: Arayuz, Seslendirme, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Seslendirme, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Danca: Altyazi | Fince: Altyazi | Norveççe: Altyazi | İsveççe: Altyazi",18+
ARMA: Gold Edition,"Simülasyon, Aksiyon, Askerî, Strateji, FPS, Taktiksel, Gerçekçi, Çok Oyunculu, Açık Dünya, Sandbox, Tek Oyunculu, Şiddet, Vahşet, Savaş, Nişancı, Birinci Şahıs, Eşli",Bohemia Interactive,Bohemia Interactive,13 Tem 2011,,,Desteklenmiyor,,$6.99 USD,"Tek Oyunculu, Aile Paylaşımı",,1 dil destekleniyor,Türkçe: Desteklenmiyor | İngilizce: Arayuz,16+
Ravenswatch - Unleashed Skin Pack,"Rogue-like, Aksiyon, Eşli, Aksiyon Roguelike, Macera, Tek Oyunculu, Bağımsız, Çok Oyunculu, Rogue-lite, Zor, Çevrimiçi Eşli Oyun, Hack and Slash, RYO, Atmosferik, Üstten Görünüş, Tekrar Oynanabilir, Karanlık Fantezi, İzometrik, Karanlık, Erken Erişim",Passtech Games,Nacon,30 Oca 2025,,,Desteklenmiyor,,$2.49 USD,"Tek Oyunculu, Çevrimiçi Eşli, İndirilebilir İçerik, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,12 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi",18+
Leisure Suit Larry - Wet Dreams Don't Dry,"Macera, Point & Click, Cinsel İçerik, Komedi, Bulmaca, Retro, 2D, Çizgi Filmvari, Zengin Hikâye, Tek Oyunculu, Seri Devamı, LGBTİ+, Yetişkinler İçin, Renkli, Basit Eğlence, Çıplaklık, Bağımsız, NSFW, Klasik, Harika Müzik",CrazyBunch,Assemble Entertainment,7 Kas 2018,,En Son:Çok Olumlu(%81/11),Desteklenmiyor,$1.99 USD,$14.99 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Aile Paylaşımı",Tam kontrolcu destegi,7 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Rusça: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi",18+
Cities: Skylines - Rock City Radio,"Strateji, Simülasyon, Şehir Kurma",Paradox Interactive,Paradox Interactive,18 May 2017,,,Desteklenmiyor,,$2.99 USD,"Tek Oyunculu, İndirilebilir İçerik, Steam Başarımları, Steam Koleksiyon Kartları, Steam Atölyesi, Steam Cloud, Bölüm düzenleyicisi içerir, Aile Paylaşımı",Kismi kontrolcu destegi,8 dil destekleniyor,"Türkçe: Desteklenmiyor | İngilizce: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi",
